Boxer,Reign Start,Reign End
Jack Dempsey,Jan 1921,23 Sep 1926
Gene Tunney,23 Sep 1926,31 Jul 1928
Max Schmeling,12 Jun 1930,6 Jan 1931
Max Schmeling (2),22 Jan 1932,21 Jun 1932
Jack Sharkey,21 Jun 1932,29 Jun 1933
Primo Carnera,29 Jun 1933,14 Jun 1934
Max Baer,14 Jun 1934,13 Jun 1935
James J. Braddock,13 Jun 1935,22 Jun 1937
Joe Louis,22 Jun 1937,1 Mar 1949
Ezzard Charles,27 Sep 1950,18 Jul 1951
Jersey Joe Walcott,18 Jul 1951,23 Sep 1952
Rocky Marciano,23 Sep 1952,27 Apr 1956
Floyd Patterson,30 Nov 1956,26 Jun 1959
Ingemar Johansson,26 Jun 1959,29 Jun 1960
Floyd Patterson (2),29 Jun 1960,25 Sep 1962
Sonny Liston,25 Sep 1962,22 Jul 1963
Sonny Liston (2),22 Jul 1963,25 Feb 1964
Muhammad Ali,25 Feb 1964,14 Sep 1964
Muhammad Ali (2),6 Feb 1967,28 Apr 1967
Joe Frazier,16 Feb 1970,22 Jan 1973
George Foreman,22 Jan 1973,29 Oct 1974
Muhammad Ali (3),29 Oct 1974,15 Feb 1978
Mike Tyson,1 Aug 1987,11 Feb 1990
Buster Douglas,11 Feb 1990,25 Oct 1990
Evander Holyfield,25 Oct 1990,13 Nov 1992
Riddick Bowe,13 Nov 1992,14 Dec 1992
Lennox Lewis,13 Nov 1999,13 Apr 2000
