Boxer,Reign Start,Reign End
Benny Leonard,Jan 1921,15 Jan 1925
Jimmy Goodrich,13 Jul 1925,7 Dec 1925
Rocky Kansas,7 Dec 1925,3 Jul 1926
Sammy Mandell,3 Jul 1926,17 Jul 1930
Al Singer,17 Jul 1930,14 Nov 1930
Tony Canzoneri,14 Nov 1930,23 Jun 1933
Barney Ross,23 Jun 1933,15 Apr 1935
Tony Canzoneri (2),10 May 1935,3 Sep 1936
Lou Ambers,3 Sep 1936,17 Aug 1938
Henry Armstrong,17 Aug 1938,22 Aug 1939
Lou Ambers (2),22 Aug 1939,25 Mar 1940
Sammy Angott,19 Dec 1941,14 Nov 1942
Ike Williams,4 Aug 1947,25 May 1951
Jimmy Carter,25 May 1951,14 May 1952
Lauro Salas,14 May 1952,15 Oct 1952
Jimmy Carter (2),15 Oct 1952,5 Mar 1954
Paddy DeMarco,5 Mar 1954,17 Nov 1954
Jimmy Carter (3),17 Nov 1954,29 Jun 1955
Wallace Bud Smith,29 Jun 1955,24 Aug 1956
Joe Brown,24 Aug 1956,21 Apr 1962
Carlos Ortiz,21 Apr 1962,7 Apr 1963
Carlos Ortiz (2),13 Nov 1965,25 Oct 1966
Carlos Ortiz (3),1 Jul 1967,29 Jun 1968
Carlos Cruz,29 Jun 1968,18 Feb 1969
Mando Ramos,18 Feb 1969,3 Mar 1970
Ismael Laguna (2),3 Mar 1970,16 Sep 1970
Ken Buchanan,12 Feb 1971,25 Jun 1971
Roberto Duran,21 Jan 1978,2 Feb 1979
Pernell Whitaker,11 Aug 1990,28 Feb 1992
Devin Haney,5 Jun 2022,1 Aug 2023
