Boxer,Reign Start,Reign End
Johnny Wilson,Jan 1921,21 Jun 1922
Johnny Wilson (2),12 Apr 1923,31 Aug 1923
Harry Greb,31 Aug 1923,25 Feb 1926
Tiger Flowers,25 Feb 1926,3 Dec 1926
Mickey Walker,3 Dec 1926,6 Jan 1931
Lou Brouillard,18 Sep 1933,30 Oct 1933
Vince Dundee,30 Oct 1933,11 Sep 1934
Teddy Yarosz,11 Sep 1934,10 Sep 1935
Eddie Babe Risko,19 Sep 1935,11 Jul 1936
Freddie Steele,11 Jul 1936,Jun 1938
Tony Zale,28 Nov 1941,16 Jul 1947
Tony Zale (2),10 Jun 1948,21 Sep 1948
Marcel Cerdan,21 Sep 1948,16 Jun 1949
Jake LaMotta,16 Jun 1949,14 Feb 1951
Sugar Ray Robinson,14 Feb 1951,10 Jul 1951
Randy Turpin,10 Jul 1951,12 Sep 1951
Sugar Ray Robinson (2),12 Sep 1951,19 Dec 1952
Bobo Olson,21 Oct 1953,9 Dec 1955
Sugar Ray Robinson (3),9 Dec 1955,2 Jan 1957
Gene Fullmer,2 Jan 1957,1 May 1957
Sugar Ray Robinson (4),1 May 1957,23 Sep 1957
Carmen Basilio,23 Sep 1957,25 Mar 1958
Sugar Ray Robinson (5),25 Mar 1958,4 May 1959
Dick Tiger,9 Nov 1962,10 Aug 1963
Dick Tiger (2),10 Aug 1963,7 Dec 1963
Joey Giardello,7 Dec 1963,21 Oct 1965
Dick Tiger (2),21 Oct 1965,25 Apr 1966
Emile Griffith,25 Apr 1966,4 Mar 1968
Nino Benvenuti,4 Mar 1968,7 Nov 1970
Carlos Monzon,7 Nov 1970,23 Apr 1974
Carlos Monzon (2),26 Jun 1976,29 Aug 1977
Rodrigo Valdez,5 Nov 1977,22 Apr 1978
Hugo Corro,22 Apr 1978,30 Jun 1979
Vito Antuofermo,30 Jun 1979,16 Mar 1980
Alan Minter,16 Mar 1980,27 Sep 1980
Marvin Hagler,27 Sep 1980,27 May 1983
Marvin Hagler (2),27 May 1983,6 Apr 1987
Bernard Hopkins,29 Sep 2001,16 Jul 2005
Jermain Taylor,16 Jul 2005,11 Oct 2005
